Mês,Data da Emissão,Parlamentar,Partido,UF,Descrição,CPF/CNPJ do Fornecedor,Fornecedor,Valor do Documento,Valor Glosa,Valor Líquido

2020,1,, Norma Ayub ,DEM,ES,TELEFONIA, 00000000000006 ,RAMAL,0.30,0.00,0.30
2020,1,, Fausto Pinato ,PP,SP,TELEFONIA, 00000000000006 ,RAMAL,2.36,0.00,2.36
2020,1,, Iracema Portella ,PP,PI,TELEFONIA, 00000000000006 ,RAMAL,22.11,0.00,22.11
2020,1,, Fábio Henrique ,PDT,SE,TELEFONIA, 00000000000006 ,RAMAL,26.39,0.00,26.39
2020,1,, Bacelar ,PODE,BA,TELEFONIA, 00000000000006 ,RAMAL,10.68,0.00,10.68
2020,1,, Felipe Carreras ,PSB,PE,TELEFONIA, 00000000000006 ,RAMAL,6.41,0.00,6.41
2020,1,, Arlindo Chinaglia ,PT,SP,TELEFONIA, 00000000000006 ,RAMAL,7.70,0.00,7.70
2020,1,, Celso Russomanno ,REPUBLICANOS,SP,TELEFONIA, 00000000000006 ,RAMAL,5.53,0.00,5.53
2020,1,, Gustavo Fruet ,PDT,PR,TELEFONIA, 00000000000006 ,RAMAL,2.01,0.00,2.01
2020,1,, Rubens Bueno ,CIDADANIA,PR,TELEFONIA, 00000000000006 ,RAMAL,5.69,0.00,5.69
2020,1,, Henrique Fontana ,PT,RS,TELEFONIA, 00000000000006 ,RAMAL,1.32,0.00,1.32
2020,1,, Pompeo de Mattos ,PDT,RS,TELEFONIA, 00000000000006 ,RAMAL,5.20,0.00,5.20
2020,1,, Ivan Valente ,PSOL,SP,TELEFONIA, 00000000000006 ,RAMAL,8.93,0.00,8.93
2020,1,, Júlio Delgado ,PSB,MG,TELEFONIA, 00000000000006 ,RAMAL,1.04,0.00,1.04
2020,1,, Rui Falcão ,PT,SP,TELEFONIA, 00000000000006 ,RAMAL,7.98,0.00,7.98
2020,1,, Angela Amin ,PP,SC,TELEFONIA, 00000000000006 ,RAMAL,5.81,0.00,5.81
2020,1,, Benedita da Silva ,PT,RJ,TELEFONIA, 00000000000006 ,RAMAL,5.46,0.00,5.46
2020,1,, Leonardo Monteiro ,PT,MG,TELEFONIA, 00000000000006 ,RAMAL,21.58,0.00,21.58
2020,1,, Hermes Parcianello ,MDB,PR,TELEFONIA, 00000000000006 ,RAMAL,0.89,0.00,0.89
2020,1,, Ricardo Barros ,PP,PR,TELEFONIA, 00000000000006 ,RAMAL,22.45,0.00,22.45
2020,1,, Renildo Calheiros ,PCdoB,PE,TELEFONIA, 00000000000006 ,RAMAL,0.47,0.00,0.47
2020,1,, Sérgio Brito ,PSD,BA,TELEFONIA, 00000000000006 ,RAMAL,9.96,0.00,9.96
2020,1,, Darcísio Perondi ,MDB,RS,TELEFONIA, 00000000000006 ,RAMAL,21.43,0.00,21.43
2020,1,, Perpétua Almeida ,PCdoB,AC,TELEFONIA, 00000000000006 ,RAMAL,3.12,0.00,3.12
2020,1,, Wellington Roberto ,PL,PB,TELEFONIA, 00000000000006 ,RAMAL,17.73,0.00,17.73
2020,1,, Bosco Costa ,PL,SE,TELEFONIA, 00000000000006 ,RAMAL,3.36,0.00,3.36
2020,1,, Alice Portugal ,PCdoB,BA,TELEFONIA, 00000000000006 ,RAMAL,1.13,0.00,1.13
2020,1,, Daniel Almeida ,PCdoB,BA,TELEFONIA, 00000000000006 ,RAMAL,21.01,0.00,21.01
2020,1,, Elcione Barbalho ,MDB,PA,TELEFONIA, 00000000000006 ,RAMAL,3.57,0.00,3.57
2020,1,, José Priante ,MDB,PA,TELEFONIA, 00000000000006 ,RAMAL,7.96,0.00,7.96
2020,1,, Átila Lins ,PP,AM,TELEFONIA, 00000000000006 ,RAMAL,27.75,0.00,27.75
2020,1,, Mário Heringer ,PDT,MG,TELEFONIA, 00000000000006 ,RAMAL,3.18,0.00,3.18
2020,1,, Odair Cunha ,PT,MG,TELEFONIA, 00000000000006 ,RAMAL,4.03,0.00,4.03
2020,1,, Patrus Ananias ,PT,MG,TELEFONIA, 00000000000006 ,RAMAL,9.09,0.00,9.09
2020,1,, Reginaldo Lopes ,PT,MG,TELEFONIA, 00000000000006 ,RAMAL,3.54,0.00,3.54
2020,1,, Gastão Vieira ,PROS,MA,TELEFONIA, 00000000000006 ,RAMAL,22.79,0.00,22.79
